artist,genre,popularity
Billy Ocean,80s,3113029
Loreena McKennitt,celtic,14789722
Faith Evans,rnb,2960947
Avant,rnb,3351071
Big Punisher,Hip-Hop,4261912
Butthole Surfers,noise rock,6813382
Falco,80s,5550132
Joe Walsh,classic rock,3082878
Felix da Housecat,electronic,4913327
Rick Springfield,80s,2940867
GZA/Genius,Hip-Hop,9564150
Deep Blue Something,rock,2468316
Juvenile,rap,2550848
G. Love & Special Sauce,blues,5336743
Saint Etienne,electronic,7893825
Junior Senior,dance,4423596
Randy Newman,singer-songwriter,5859861
Midnight Oil,rock,5410045
Alan Silvestri,Soundtrack,7046951
Kent,swedish,37932833
Propellerheads,electronic,4120783
Snap!,dance,2646287
Mad Season,Grunge,6057781
Anthony Hamilton,soul,4967255
Clannad,celtic,7095635
Alison Krauss,bluegrass,4839576
Coldcut,ninja tune,4457928
Grace Jones,Disco,5566954
Sister Hazel,rock,4639722
Groove Coverage,dance,6904580
Bonnie Raitt,blues,4216695
Cliff Richard,oldies,2975620
Israel Kamakawiwoʻole,Hawaiian,4990667
Modern Talking,80s,7217143
Lagwagon,punk,13024702
Method Man & Redman,Hip-Hop,5198564
Me First and the Gimme Gimmes,punk,12339992
Refused,hardcore,12442478
Broadcast,electronic,11443213
Lonestar,country,3152058
Candlebox,Grunge,4310788
Slash,hard rock,14187781
Los Hermanos,brazilian,36818665
The Verve Pipe,alternative,2897026
Steve Earle,country,5602193
Martina McBride,country,4140542
Lou Bega,pop,2170538
Remy Zero,indie,3688255
Freddie Mercury,classic rock,4351874
Fluke,electronic,4435194
Marc Anthony,salsa,4706603
Paula Abdul,pop,3024063
DJ Jazzy Jeff,Hip-Hop,2240271
ABC,80s,3708731
Blackalicious,Hip-Hop,6477130
Katrina and the Waves,pop,2029129
Naughty by Nature,Hip-Hop,3164449
Angelo Badalamenti,Soundtrack,9206403
Modjo,House,3161983
RZA,Hip-Hop,5276300
Super Furry Animals,indie,9448300
Golden Earring,classic rock,4026094
Lemon Jelly,electronic,6424192
En Vogue,rnb,2641880
No Use for a Name,punk rock,10886968
Angie Stone,soul,3750777
Vengaboys,dance,3256335
Urge Overkill,rock,2709578
Squeeze,new wave,4288550
Kim Carnes,80s,2201896
Fastball,rock,3251853
Paul Anka,swing,3271162
Raphael Saadiq,soul,5358704
Gabrielle,soul,3192587
Graham Coxon,britpop,5575824
Donell Jones,rnb,3029432
Joe Jackson,new wave,4935298
Ride,shoegaze,9342180
Gary Allan,country,3649461
Tamia,rnb,3081305
Anouk,rock,8819407
Anouk,rock,8819407
Lucinda Williams,Alt-country,5857741
Stardust,House,1946958
Jon Bon Jovi,rock,3256738
Deep Forest,new age,6739101
Mike + The Mechanics,80s,3276663
Andrew Lloyd Webber,musical,9514263
Mark Lanegan,singer-songwriter,11565327
Glen Campbell,country,3133643
Happy Mondays,madchester,4886158
Lighthouse Family,pop,3940805
Freestylers,breakbeat,3847549
Idina Menzel,Broadway,4861757
Mercury Rev,indie,6326883
Slum Village,Hip-Hop,6053971
Meredith Brooks,female vocalists,2164009
Toad the Wet Sprocket,alternative,4106799
Toad the Wet Sprocket,alternative,4106799
Dr. John,blues,4320179
Damon Albarn,britpop,5864273
Killing Joke,post-punk,9521129
Dru Hill,rnb,2494095
Rednex,country,2296274
Nancy Wilson,jazz,2521985
Dishwalla,alternative rock,4023830
Phish,Jam,17468235
Harvey Danger,alternative,3987727
Swans,post-punk,22047620
